date	param-size	value	success	cilo	cihi	units	complete
2014-04-25T14:59:16Z	5000	792.55075	true	771.745	813.357	ms	"802.403 808.529 818.843 819.236 773.819 775.624 776.029 777.685 774.237 783.065 786.019 786.094 772.389 774.978 779.304 779.452 776.496 797.481 806.087 823.875 807.498 822.965 836.396 840.423 774.641 782.133 783.598 785.274 790.745 798.014 801.987 802.549 768.111 776.149 783.324 786.375"
2014-04-25T14:59:16Z	6000	942.1665277777779	true	923.375	960.958	ms	"944.599 956.646 958.014 968.083 925.735 926.832 929.977 935.616 920.527 923.605 927.556 929.279 927.657 929.159 930.444 931.022 943.103 947.655 956.463 969.979 963.374 970.947 980.075 983.236 931.924 931.98 936.374 936.475 928.002 948.679 949.884 958.663 926.479 927.002 929.891 933.059"
2014-04-25T14:59:16Z	7000	1102.2785555555556	true	1079.836	1124.721	ms	"1084.713 1085.277 1087.92 1090.352 1075.82 1088.361 1107.453 1109.862 1073.249 1084.996 1097.043 1119.269 1079.4 1094.253 1134.079 1134.931 1130.329 1136.458 1137.072 1138.929 1101.05 1107.211 1121.283 1133.141 1096.893 1103.132 1103.281 1107.016 1088.433 1095.921 1106.999 1119.414 1071.403 1072.445 1077.927 1086.713"
2014-04-25T14:59:16Z	8000	1267.1578888888891	true	1230.674	1303.642	ms	"1222.75 1233.38 1235.612 1245.214 1224.755 1232.545 1236.845 1239.214 1234.942 1238.687 1255.479 1257.633 1248.972 1280.669 1280.772 1283.818 1244.748 1262.391 1270.063 1293.491 1258.985 1264.954 1274.394 1293.015 1245.318 1246.004 1281.45 1315.824 1304.601 1323.244 1332.343 1360.538 1229.829 1252.564 1300.934 1311.707"
2014-04-25T14:59:16Z	9000	1446.1503888888885	true	1414.041	1478.259	ms	"1465.128 1467.396 1486.315 1490.217 1400.356 1403.679 1417.011 1432.012 1395.596 1400.804 1401.441 1408.668 1413.066 1450.742 1456.635 1464.016 1458.331 1464.985 1474.261 1477.826 1455.926 1464.469 1476.169 1480.715 1438.089 1454.462 1461.797 1464.027 1412.255 1416.51 1418.229 1419.822 1441.554 1465.983 1470.187 1492.735"
2014-04-25T14:59:16Z	10000	1586.1265555555551	true	1554.341	1617.913	ms	"1549.899 1554.01 1557.033 1558.052 1560.446 1603.69 1604.407 1617.744 1551.888 1561.919 1565.043 1584.534 1542.003 1548.405 1549.634 1567.033 1588.92 1593.981 1614.947 1627.961 1601.508 1605.394 1607.465 1612.433 1575.96 1610.594 1620.465 1622.869 1557.44 1560.809 1561.818 1563.456 1606.571 1616.762 1637.504 1637.959"
